sinco_code,title,slug,category,category_es,division_es,jobs,median_income_monthly,median_income_hourly,median_hours_weekly,education_mode,pct_professional,formality_rate,health_insurance_rate,health_protection_index
7322,"Impresores, linotipistas, fotograbadores y encuadernadores",sinco-7322,crafts-trades,Artesanos y oficios,Trabajadores artesanales,82557,10750,55.6,45.0,Preparatoria,24.5,59.8,45.4,48.2
7612,"Trabajadores en la elaboración de productos de cemento, cal, yeso, azulejo, piedra y ladrilleros",sinco-7612,crafts-trades,Artesanos y oficios,Trabajadores artesanales,82320,7740,42.4,48.0,Primaria,5.0,8.1,6.8,8.3
2261,Ingenieros civiles y de la construcción,sinco-2261,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,81127,21500,118.8,46.0,Profesional (licenciatura),100.0,80.8,65.5,65.6
2531,Auxiliares en ciencias sociales y humanistas,sinco-2531,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,81030,10000,69.8,40.0,Profesional (licenciatura),42.8,66.5,66.3,68.0
2716,Instructores en educación física y deporte,sinco-2716,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,80295,9000,77.5,30.0,Profesional (licenciatura),46.9,38.1,27.9,31.0
1623,Coordinadores y jefes de área en servicios de transporte,sinco-1623,management,Funcionarios y directivos,"Funcionarios, directores y jefes",78190,21500,96.9,48.0,Profesional (licenciatura),69.5,96.8,91.8,90.9
2637,"Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado",sinco-2637,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,77901,12900,80.0,40.0,Preparatoria,14.7,40.0,28.4,29.6
1615,"Coordinadores y jefes de área en construcción, reparación y mantenimiento de maquinaria y equipo industrial, telecomunicaciones, de transporte, etcétera",sinco-1615,management,Funcionarios y directivos,"Funcionarios, directores y jefes",74450,20000,88.9,50.0,Profesional (licenciatura),70.5,91.0,87.5,87.7
9622,Recamaristas y camaristas,sinco-9622,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,74224,8600,43.6,48.0,Secundaria,6.2,75.5,75.9,77.7
2543,Diseñadores gráficos,sinco-2543,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,74060,12040,70.0,40.0,Profesional (licenciatura),56.3,55.0,33.1,34.7
6223,Trabajadores en viveros e invernaderos,sinco-6223,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",73116,7740,40.0,48.0,Secundaria,6.6,45.9,45.0,46.9
2544,"Decoradores de interiores, jardines y diversos materiales (tazas, llaveros, etcétera)",sinco-2544,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,72525,8600,60.6,40.0,Secundaria,27.7,18.7,9.4,12.1
7353,Zapateros artesanales,sinco-7353,crafts-trades,Artesanos y oficios,Trabajadores artesanales,71160,8170,41.3,48.0,Secundaria,4.4,9.8,7.4,12.4
3213,Telefonistas y telegrafistas,sinco-3213,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,70840,11180,62.0,45.0,Profesional (licenciatura),48.0,80.5,82.7,83.5
6115,Trabajadores en el cultivo de flores,sinco-6115,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",70376,6880,35.6,48.0,Primaria,3.0,11.9,3.5,3.9
2711,Auxiliares y técnicos en pedagogía y en educación,sinco-2711,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,68032,8000,58.1,30.0,Profesional (licenciatura),54.4,35.0,35.6,37.4
6124,Trabajadores en la cría de caprinos y ovinos,sinco-6124,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",67051,2580,20.9,35.0,Primaria,3.0,2.6,2.1,2.2
2437,Fisioterapeutas y logopedas,sinco-2437,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,66633,12000,100.0,39.0,Profesional (licenciatura),98.3,37.0,20.8,23.6
6123,Trabajadores en la cría avícola,sinco-6123,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",64554,7310,40.0,45.0,Primaria,10.4,44.9,43.6,43.8
2222,Químicos,sinco-2222,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,64540,16000,85.3,40.0,Profesional (licenciatura),100.0,80.7,79.3,80.9
2715,Instructores y capacitadores en oficios y para el trabajo,sinco-2715,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,64217,12000,71.1,40.0,Profesional (licenciatura),54.7,71.5,67.4,68.7
9641,Lavanderos en establecimientos,sinco-9641,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,62099,8170,45.0,48.0,Preparatoria,8.6,53.6,36.1,37.2
9237,"Trabajadores de apoyo en la industria de la cerámica, vidrio y similares",sinco-9237,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,61971,8600,42.7,48.0,Secundaria,6.0,38.2,38.2,38.2
2641,Técnicos eléctricos,sinco-2641,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,61592,11180,69.8,45.0,Preparatoria,18.1,62.0,59.3,58.2
2812,"Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas",sinco-2812,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,60222,10750,87.2,40.0,Preparatoria,30.2,53.3,42.9,45.2
2655,Fotógrafos,sinco-2655,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,59610,10000,100.0,24.0,Profesional (licenciatura),51.8,26.3,10.6,12.1
2122,Asesores y analistas en finanzas,sinco-2122,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,57807,17142,99.7,40.0,Profesional (licenciatura),99.9,93.9,80.4,80.1
9601,"Supervisores en limpieza, amas de llaves, mayordomos y en estacionamientos",sinco-9601,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,57059,11180,56.0,48.0,Profesional (licenciatura),30.2,68.2,62.5,64.7
1122,Presidentes y directores generales en instituciones y empresas privadas,sinco-1122,management,Funcionarios y directivos,"Funcionarios, directores y jefes",56535,24000,139.5,45.0,Profesional (licenciatura),79.7,94.6,50.7,48.4
8163,Operadores de máquinas en la elaboración de bebidas alcohólicas y no alcohólicas,sinco-8163,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",55872,9460,47.5,48.0,Preparatoria,6.0,83.9,82.3,84.7
2242,Ingenieros electrónicos,sinco-2242,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,55645,25800,125.0,40.0,Profesional (licenciatura),100.0,93.7,89.6,88.9
7211,"Moldeadores, torneros y troqueladores",sinco-7211,crafts-trades,Artesanos y oficios,Trabajadores artesanales,55330,12040,55.6,48.0,Profesional (licenciatura),29.1,74.4,49.4,52.2
7342,"Artesanos y confeccionadores de productos textiles, cuero, piel y materiales sucedáneos (excepto prendas de vestir y calzado)",sinco-7342,crafts-trades,Artesanos y oficios,Trabajadores artesanales,55155,4300,40.0,38.0,Secundaria,15.0,14.1,10.1,11.3
6122,Trabajadores en la cría de porcinos,sinco-6122,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",53603,7740,37.5,48.0,Secundaria,5.5,26.8,21.8,23.5
2532,Auxiliares en servicios jurídicos,sinco-2532,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,52666,10000,69.8,40.0,Profesional (licenciatura),71.3,51.5,44.2,47.5
9311,Ayudantes de conductores de transporte terrestre con motor y de maquinaria móvil,sinco-9311,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,52214,9890,46.3,48.0,Secundaria,13.6,50.0,48.8,51.0
9722,Repartidores de mensajería (a pie o en bicicleta) y mandaderos,sinco-9722,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,52090,8600,53.7,40.0,Preparatoria,23.3,55.2,55.5,57.8
7313,"Artesanos de productos de bejuco, vara, palma, carrizo, mimbre y similares, excepto madera",sinco-7313,crafts-trades,Artesanos y oficios,Trabajadores artesanales,51741,1290,12.5,32.0,Sin escolaridad,1.8,4.0,3.2,3.6
7611,Alfareros y trabajadores ceramistas,sinco-7611,crafts-trades,Artesanos y oficios,Trabajadores artesanales,51492,6450,37.5,42.0,Secundaria,15.6,4.7,1.2,3.0
5413,Trabajadores del Ejército,sinco-5413,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,51489,17000,58.1,72.0,Preparatoria,20.5,100.0,100.0,100.0
2429,Otros médicos especialistas,sinco-2429,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,50540,30000,173.6,40.0,Maestría,100.0,89.1,74.0,73.1
2827,Fumigadores y controladores de plagas,sinco-2827,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,50450,9030,48.4,46.0,Preparatoria,11.6,48.4,44.1,45.9
5115,Cantineros,sinco-5115,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,50440,8600,50.0,48.0,Preparatoria,23.5,49.3,45.9,50.7
3231,Encuestadores,sinco-3231,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,49544,14000,67.8,44.0,Profesional (licenciatura),55.3,74.9,77.7,76.2
5213,Bañeros y masajistas,sinco-5213,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,48405,8600,75.0,30.0,Preparatoria,18.8,18.9,15.0,16.5
4312,Trabajadores en servicios de alquiler de bienes muebles,sinco-4312,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",48179,10000,83.3,36.0,Profesional (licenciatura),31.5,30.1,8.3,8.7
6101,"Supervisores, encargados y capataces agropecuarios",sinco-6101,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",48069,11610,55.0,48.0,Profesional (licenciatura),33.7,51.8,47.7,51.7
7321,Artesanos y trabajadores en la elaboración de productos de papel y cartón,sinco-7321,crafts-trades,Artesanos y oficios,Trabajadores artesanales,47911,3655,33.2,30.0,Secundaria,7.4,7.3,6.4,7.3
7517,Trabajadores en la elaboración de bebidas alcohólicas y no alcohólicas,sinco-7517,crafts-trades,Artesanos y oficios,Trabajadores artesanales,47897,6020,47.6,42.0,Primaria,9.2,5.8,1.6,4.9
8343,Choferes en casas particulares,sinco-8343,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",47445,10750,50.0,48.0,Secundaria,8.3,21.1,21.7,29.5
2232,Veterinarios y zootecnistas,sinco-2232,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,46214,12900,72.7,46.0,Profesional (licenciatura),100.0,57.8,28.8,30.4
2822,Auxiliares y asistentes dentales,sinco-2822,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,45152,7740,50.0,40.0,Profesional (licenciatura),44.6,29.6,29.8,35.8
2823,Auxiliares hospitalarios y de medicina,sinco-2823,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,44248,10750,65.2,44.0,Preparatoria,20.2,84.6,77.4,77.1
8122,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metal",sinco-8122,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",43932,10750,55.6,47.0,Secundaria,8.0,94.4,94.4,92.3
2630,"Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración",sinco-2630,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,42810,18060,89.4,48.0,Profesional (licenciatura),65.6,94.3,90.9,90.9
7514,"Trabajadores en la elaboración de productos a base de frutas, verduras y legumbres",sinco-7514,crafts-trades,Artesanos y oficios,Trabajadores artesanales,42729,4300,38.0,36.0,Primaria,9.1,18.0,10.6,11.7
2562,Entrenadores deportivos y directores técnicos,sinco-2562,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,42427,8256,72.9,35.0,Profesional (licenciatura),60.1,34.8,27.7,30.2
1315,"Directores y gerentes en construcción, reparación y mantenimiento de maquinaria y equipo industrial, telecomunicaciones, de transporte, etcétera",sinco-1315,management,Funcionarios y directivos,"Funcionarios, directores y jefes",42093,30000,129.2,48.0,Profesional (licenciatura),84.7,91.1,52.7,53.1
2638,"Mecánicos en instalación, mantenimiento y reparación de equipos de refrigeración, climas y aire acondicionado",sinco-2638,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,41970,12900,67.5,45.0,Preparatoria,26.6,59.5,53.8,56.0
4213,Vendedores por teléfono,sinco-4213,sales,Comerciantes y ventas,"Comerciantes, empleados en ventas y agentes de ventas",41525,13500,69.3,40.0,Profesional (licenciatura),59.8,81.0,81.0,81.7
9643,Lavanderos y planchadores domésticos,sinco-9643,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,41168,1720,50.0,7.0,Primaria,1.2,0.9,0.7,2.7
2712,Instructores en estudios y capacitación artística,sinco-2712,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,41046,7450,69.8,20.0,Profesional (licenciatura),58.9,21.4,11.2,13.4
2654,"Auxiliares y técnicos de ingeniería de audio, sonido e iluminación",sinco-2654,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,40331,12900,116.3,30.0,Preparatoria,33.5,35.1,26.0,26.6
1512,"Coordinadores y jefes de área en servicios contables, financieros, banca y seguros",sinco-1512,management,Funcionarios y directivos,"Funcionarios, directores y jefes",39926,22000,127.7,45.0,Profesional (licenciatura),78.7,95.9,95.9,96.0
2252,Ingenieros mecánicos,sinco-2252,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,39703,20000,108.3,45.0,Profesional (licenciatura),100.0,87.3,82.1,82.1
7512,Trabajadores en la elaboración de productos lácteos,sinco-7512,crafts-trades,Artesanos y oficios,Trabajadores artesanales,39600,8600,45.8,42.0,Secundaria,11.5,24.7,19.8,22.2
9713,"Trabajadores de apoyo a la realización de espectáculos, deportes y en parques de diversiones",sinco-9713,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,39400,7310,45.0,40.0,Preparatoria,16.6,18.6,17.3,17.7
6117,Trabajadores en actividades de beneficio de productos agrícolas,sinco-6117,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",39137,8600,40.0,47.0,Primaria,0.1,30.4,29.3,33.6
2825,Técnicos en seguridad en el trabajo e higiene,sinco-2825,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,38749,13600,66.4,40.0,Profesional (licenciatura),56.6,88.5,86.8,87.5
9121,Trabajadores de apoyo en actividades silvícolas y forestales,sinco-9121,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,38547,7740,37.5,45.0,Primaria,3.7,16.3,17.6,18.1
1711,"Coordinadores y jefes de área de ventas, comercialización y alquiler",sinco-1711,management,Funcionarios y directivos,"Funcionarios, directores y jefes",38037,15000,72.9,48.0,Profesional (licenciatura),64.1,91.3,80.7,81.5
2813,Técnicos de laboratorios médicos,sinco-2813,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,37615,10750,52.1,40.0,Profesional (licenciatura),37.0,84.4,84.8,82.2
5254,Entrenadores de animales y ocupaciones relacionadas con el cuidado de mascotas,sinco-5254,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,37359,8600,62.5,45.0,Preparatoria,28.3,15.9,7.8,10.7
2640,"Supervisores de técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos",sinco-2640,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,36326,18000,87.2,46.0,Profesional (licenciatura),48.7,97.4,90.0,88.6
8131,Operadores de máquinas para la elaboración de productos químicos,sinco-8131,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",36133,9890,52.1,48.0,Preparatoria,24.7,96.8,97.3,97.5
2552,Animadores y organizadores de eventos,sinco-2552,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,35459,11000,75.0,36.0,Profesional (licenciatura),57.2,57.4,41.2,41.7
7351,Tapiceros,sinco-7351,crafts-trades,Artesanos y oficios,Trabajadores artesanales,35372,10750,52.1,45.0,Secundaria,7.0,25.7,17.4,18.7
8121,"Operadores de hornos metalúrgicos, coladores y laminadores y operadores de máquinas trefiladoras y estiradoras de metales",sinco-8121,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",35072,12900,62.5,48.0,Secundaria,12.7,97.4,96.3,96.4
8311,Pilotos de aviación,sinco-8311,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",34537,10750,51.0,48.0,Primaria,16.8,44.4,40.1,44.5
6311,Operadores de maquinaria agropecuaria y forestal,sinco-6311,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",34369,10750,52.1,48.0,Secundaria,5.2,53.6,55.3,58.7
9723,Repartidores de mercancías (a pie o en bicicleta),sinco-9723,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,34315,6020,33.9,36.0,Preparatoria,11.0,5.5,4.7,6.5
9662,Clasificadores de desechos,sinco-9662,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,34143,7740,41.7,48.0,Secundaria,2.4,21.2,17.1,24.5
7412,Trabajadores en la elaboración de sustancias y productos químicos,sinco-7412,crafts-trades,Artesanos y oficios,Trabajadores artesanales,34088,8600,43.8,45.0,Secundaria,18.0,31.8,22.9,24.1
8152,"Operadores de máquinas para fabricar tejidos de punto, telas y alfombras",sinco-8152,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",34084,8600,43.8,48.0,Secundaria,4.4,90.5,90.5,90.8
1323,Directores y gerentes en servicios de transporte,sinco-1323,management,Funcionarios y directivos,"Funcionarios, directores y jefes",34073,21500,116.3,40.0,Profesional (licenciatura),77.2,91.2,42.5,42.6
9113,Trabajadores de apoyo que realizan actividades agrícolas y ganaderas,sinco-9113,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,34068,5160,37.5,34.0,Primaria,1.3,0.4,0.4,2.0
2312,"Pedagogos, orientadores educativos y otros especialistas en ciencias educativas",sinco-2312,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,33925,12000,139.5,30.0,Profesional (licenciatura),90.9,63.6,54.2,55.3
1521,"Coordinadores y jefes de área en servicios de salud, protección civil y medio ambiente",sinco-1521,management,Funcionarios y directivos,"Funcionarios, directores y jefes",33853,20000,132.9,40.0,Profesional (licenciatura),86.0,93.7,94.2,94.0
3221,Trabajadores en agencias de viajes,sinco-3221,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,33625,12000,77.5,45.0,Profesional (licenciatura),55.4,77.6,65.7,65.0
2714,Instructores en idiomas extranjeros,sinco-2714,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,32714,8600,111.1,20.0,Profesional (licenciatura),88.5,22.7,13.1,14.4
7132,"Instaladores de pisos, azulejos, mosaicos y baldosas",sinco-7132,crafts-trades,Artesanos y oficios,Trabajadores artesanales,32657,12900,72.9,45.0,Secundaria,7.9,12.9,10.4,12.8
2433,Nutriólogos,sinco-2433,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,32084,12900,87.2,40.0,Profesional (licenciatura),100.0,50.9,33.4,33.8
8145,Operadores de máquinas para la elaboración de productos a base de papel y cartón,sinco-8145,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",31258,9460,47.5,48.0,Secundaria,4.0,94.2,93.9,93.8
1523,Coordinadores y jefes de área en centros de enseñanza y capacitación,sinco-1523,management,Funcionarios y directivos,"Funcionarios, directores y jefes",31180,16000,81.4,40.0,Profesional (licenciatura),89.1,89.8,88.2,89.8
2173,Cantantes,sinco-2173,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,31042,8600,200.0,10.0,Profesional (licenciatura),48.8,12.5,7.9,9.0
9222,Trabajadores de apoyo en plomería e instalación de tuberías,sinco-9222,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,30255,8000,49.0,40.0,Secundaria,15.1,23.4,23.9,27.3
2513,Tramitadores aduanales,sinco-2513,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,30133,15050,80.0,45.0,Profesional (licenciatura),55.1,80.1,82.8,82.5
5301,Supervisores en servicios de protección y vigilancia,sinco-5301,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,29970,15050,62.0,48.0,Profesional (licenciatura),52.7,90.2,89.6,91.3
9711,"Trabajadores de paquetería, maleteros y botones de hotel",sinco-9711,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,29890,10320,56.8,48.0,Preparatoria,25.4,75.8,70.8,70.0
2614,"Auxiliares y técnicos en veterinaria, pesca y forestación",sinco-2614,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,29795,8600,41.7,45.0,Profesional (licenciatura),37.5,45.3,43.5,48.3
2311,Supervisores e inspectores educativos,sinco-2311,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,29781,16000,106.3,40.0,Profesional (licenciatura),89.4,92.9,94.8,93.9
2152,Periodistas y redactores,sinco-2152,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,29719,15000,72.7,48.0,Profesional (licenciatura),82.5,81.4,59.0,58.3
2143,Profesionistas en trabajo social,sinco-2143,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,29702,14000,93.0,40.0,Profesional (licenciatura),100.0,88.1,91.1,89.8
3142,Checadores y revisores de transporte,sinco-3142,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,29513,7525,33.3,48.0,Secundaria,21.5,41.0,41.4,43.4
7613,Trabajadores del vidrio y similares,sinco-7613,crafts-trades,Artesanos y oficios,Trabajadores artesanales,28676,8600,55.6,48.0,Secundaria,9.7,41.5,36.1,39.3
2145,"Sacerdotes, pastores y otros teólogos",sinco-2145,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,28446,10000,54.3,35.0,Profesional (licenciatura),37.2,20.2,20.5,23.4
1524,"Coordinadores y jefes de área en servicios legales, jueces calificadores y fiscales",sinco-1524,management,Funcionarios y directivos,"Funcionarios, directores y jefes",28222,14000,81.4,40.0,Profesional (licenciatura),88.8,90.7,91.2,90.3
5113,Cocineros domésticos,sinco-5113,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,27142,6450,56.2,32.0,Primaria,5.6,7.2,7.3,19.8
7222,"Cerrajeros, afiladores y pulidores de metales y herramientas",sinco-7222,crafts-trades,Artesanos y oficios,Trabajadores artesanales,27083,8600,50.0,54.0,Preparatoria,9.1,19.1,13.0,15.1
9633,Cuidadores y acomodadores de autos en estacionamientos,sinco-9633,elementary-support,Actividades elementales,Trabajadores en actividades elementales y de apoyo,26936,9030,43.8,48.0,Secundaria,11.7,37.2,37.2,44.5
1221,"Directores y gerentes en servicios de salud, protección civil y medio ambiente",sinco-1221,management,Funcionarios y directivos,"Funcionarios, directores y jefes",25873,12000,68.6,40.0,Profesional (licenciatura),57.3,88.6,83.0,83.8
5314,Vigilantes y porteros en casas particulares,sinco-5314,personal-services,Servicios personales y vigilancia,Trabajadores en servicios personales y vigilancia,25635,7000,33.3,60.0,Primaria,4.6,13.7,14.1,21.5
2521,Oficiales del ministerio público y detectives,sinco-2521,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,24948,20000,84.6,50.0,Profesional (licenciatura),93.1,93.0,92.6,96.4
3222,"Guías de turismo en museos, casinos, parques, cines y otros centros recreativos",sinco-3222,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,24797,12040,60.0,40.0,Profesional (licenciatura),60.8,32.9,29.3,34.8
3201,Supervisores de trabajadores que brindan y manejan información,sinco-3201,administrative-support,Auxiliares administrativos,Trabajadores auxiliares en actividades administrativas,24662,14000,72.4,48.0,Profesional (licenciatura),62.7,90.0,92.5,91.0
2343,Otros profesores de enseñanza especial,sinco-2343,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,24528,14000,116.3,25.0,Profesional (licenciatura),97.2,76.3,76.5,79.5
2622,"Auxiliares y técnicos topógrafos, en hidrología y geología",sinco-2622,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,23803,13760,66.7,46.0,Preparatoria,23.5,67.4,68.5,67.2
2624,"Auxiliares y técnicos en ingeniería civil, en construcción y arquitectura",sinco-2624,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,23703,15050,76.7,40.0,Profesional (licenciatura),66.2,61.3,52.6,53.4
2251,Ingenieros químicos,sinco-2251,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,23516,16000,83.7,45.0,Profesional (licenciatura),100.0,91.3,93.6,88.8
2621,Auxiliares y técnicos industriales y químicos,sinco-2621,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,23496,16340,85.4,45.0,Profesional (licenciatura),48.7,81.8,74.8,74.8
2231,Agrónomos,sinco-2231,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,23275,16000,93.0,45.0,Profesional (licenciatura),100.0,77.6,69.6,68.6
6212,Trabajadores en actividades de acuacultura,sinco-6212,agriculture,Agropecuario y pesca,"Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca",23032,10320,41.7,48.0,Secundaria,8.1,41.9,41.9,45.2
8143,"Operadores de máquinas en la elaboración de celulosa, papel y similares",sinco-8143,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",22153,8000,46.5,46.0,Preparatoria,7.1,100.0,100.0,100.0
1526,Coordinadores y jefes de área en servicios de vigilancia y seguridad,sinco-1526,management,Funcionarios y directivos,"Funcionarios, directores y jefes",21923,16000,81.4,48.0,Profesional (licenciatura),56.7,99.2,99.0,99.1
2653,Auxiliares y técnicos de equipos de grabación y reproducción de video,sinco-2653,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,21876,10750,75.0,40.0,Profesional (licenciatura),77.5,65.9,35.5,36.4
1722,"Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales",sinco-1722,management,Funcionarios y directivos,"Funcionarios, directores y jefes",21564,12000,81.4,40.0,Profesional (licenciatura),72.4,71.3,43.3,45.7
2514,"Valuadores, subastadores y rematadores",sinco-2514,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,21225,14000,77.8,48.0,Profesional (licenciatura),58.0,84.1,77.5,79.4
2645,Técnicos en reparación de equipos electromecánicos,sinco-2645,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,21107,15050,59.4,48.0,Preparatoria,27.8,89.5,61.8,61.8
7131,"Yeseros, escayolistas y otros recubridores de techos y paredes",sinco-7131,crafts-trades,Artesanos y oficios,Trabajadores artesanales,21051,12900,76.9,45.0,Secundaria,5.7,11.7,11.1,11.4
8132,Operadores de máquinas para la elaboración de productos farmacéuticos y cosméticos,sinco-8132,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",20898,9890,47.9,48.0,Preparatoria,3.9,99.7,98.9,99.0
2612,"Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente",sinco-2612,professional-technical,Profesionistas y técnicos,Profesionistas y técnicos,20796,12000,69.3,44.0,Profesional (licenciatura),47.3,83.2,84.7,83.9
8172,"Operadores de máquinas en la elaboración de productos de cerámica, mosaico, azulejo y similares",sinco-8172,operators-drivers,Operadores y conductores,"Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte",20657,8600,41.7,48.0,Secundaria,7.6,84.3,84.3,84.1
